One=0, Two=0, Three=0, Four=0 Generation=268 4 guns alive
One=0, Two=0, Three=9, Four=12 Generation=3103 All guns dead
One=0, Two=0, Three=10, Four=0 Generation=4774 1 gun alive
One=0, Two=0, Three=10, Four=1 Generation=5341 All guns dead
One=0, Two=0, Three=10, Four=2 Generation=2583 All guns dead
One=0, Two=0, Three=10, Four=3 Generation=4891 All guns dead
One=0, Two=0, Three=10, Four=4 Generation=2051 All guns dead
One=0, Two=0, Three=10, Four=5 Generation=6601 All guns dead
One=0, Two=0, Three=10, Four=6 Generation=320 4 guns alive
One=0, Two=0, Three=10, Four=7 Generation=4141 All guns dead
One=0, Two=0, Three=10, Four=8 Generation=3909 All guns dead
One=0, Two=0, Three=10, Four=9 Generation=3434 2 guns alive
One=0, Two=0, Three=10, Four=10 Generation=2321 All guns dead
One=0, Two=0, Three=10, Four=11 Generation=6031 All guns dead
One=0, Two=0, Three=10, Four=12 Generation=2623 All guns dead
One=0, Two=0, Three=11, Four=0 Generation=1981 All guns dead
One=0, Two=0, Three=11, Four=1 Generation=309 4 guns alive
One=0, Two=0, Three=11, Four=2 Generation=2671 All guns dead
One=0, Two=0, Three=11, Four=3 Generation=2221 All guns dead
One=0, Two=0, Three=11, Four=4 Generation=4872 All guns dead
One=0, Two=0, Three=11, Four=5 Generation=1591 All guns dead
One=0, Two=0, Three=11, Four=6 Generation=4122 All guns dead
One=0, Two=0, Three=11, Four=7 Generation=2341 All guns dead
One=0, Two=0, Three=11, Four=8 Generation=3399 All guns dead
One=0, Two=0, Three=11, Four=9 Generation=3751 All guns dead
One=0, Two=0, Three=11, Four=10 Generation=6031 All guns dead
One=0, Two=0, Three=11, Four=11 Generation=2682 All guns dead
One=0, Two=0, Three=11, Four=12 Generation=2071 All guns dead
One=0, Two=0, Three=12, Four=0 Generation=1981 All guns dead
One=0, Two=0, Three=12, Four=1 Generation=3091 All guns dead
One=0, Two=0, Three=12, Four=2 Generation=2851 All guns dead
One=0, Two=0, Three=12, Four=3 Generation=4084 1 gun alive
One=0, Two=0, Three=12, Four=4 Generation=282 4 guns alive
One=0, Two=0, Three=12, Four=5 Generation=2473 All guns dead
One=0, Two=0, Three=12, Four=6 Generation=3517 All guns dead
One=0, Two=0, Three=12, Four=7 Generation=7388 All guns dead
One=0, Two=0, Three=12, Four=8 Generation=2281 All guns dead
One=0, Two=0, Three=12, Four=9 Generation=3103 All guns dead
One=0, Two=0, Three=12, Four=10 Generation=2623 All guns dead
One=0, Two=0, Three=12, Four=11 Generation=2071 All guns dead
One=0, Two=0, Three=12, Four=12 Generation=6073 All guns dead
One=0, Two=1, Three=0, Four=0 Generation=2671 All guns dead
One=0, Two=1, Three=0, Four=1 Generation=255 4 guns alive
One=0, Two=1, Three=0, Four=2 Generation=5673 All guns dead
One=0, Two=1, Three=0, Four=3 Generation=3064 All guns dead
One=0, Two=1, Three=0, Four=4 Generation=255 4 guns alive
One=0, Two=1, Three=0, Four=5 Generation=1412 All guns dead
One=0, Two=1, Three=0, Four=6 Generation=1681 All guns dead
One=0, Two=1, Three=0, Four=7 Generation=267 4 guns alive
One=0, Two=1, Three=0, Four=8 Generation=261 4 guns alive
One=0, Two=1, Three=0, Four=9 Generation=262 4 guns alive
One=0, Two=1, Three=0, Four=10 Generation=263 4 guns alive
One=0, Two=1, Three=0, Four=11 Generation=264 4 guns alive
One=0, Two=1, Three=0, Four=12 Generation=265 4 guns alive
One=0, Two=1, Three=1, Four=0 Generation=1651 All guns dead
One=0, Two=1, Three=1, Four=1 Generation=1921 All guns dead
One=0, Two=1, Three=1, Four=2 Generation=7294 1 gun alive
One=0, Two=1, Three=1, Four=3 Generation=1711 All guns dead
One=0, Two=1, Three=1, Four=4 Generation=3124 1 gun alive
One=0, Two=1, Three=1, Four=5 Generation=6066 All guns dead
One=0, Two=1, Three=1, Four=6 Generation=5912 All guns dead
One=0, Two=1, Three=1, Four=7 Generation=2048 All guns dead
One=0, Two=1, Three=1, Four=8 Generation=5642 All guns dead
One=0, Two=1, Three=1, Four=9 Generation=2702 All guns dead
One=0, Two=1, Three=1, Four=10 Generation=2351 All guns dead
One=0, Two=1, Three=1, Four=11 Generation=8795 1 gun alive
One=0, Two=1, Three=1, Four=12 Generation=5533 1 gun alive
One=0, Two=1, Three=2, Four=0 Generation=2191 All guns dead
One=0, Two=1, Three=2, Four=1 Generation=5277 1 gun alive
One=0, Two=1, Three=2, Four=2 Generation=1833 All guns dead
One=0, Two=1, Three=2, Four=3 Generation=2942 All guns dead
One=0, Two=1, Three=2, Four=4 Generation=3993 All guns dead
One=0, Two=1, Three=2, Four=5 Generation=4569 1 gun alive
One=0, Two=1, Three=2, Four=6 Generation=7657 All guns dead
One=0, Two=1, Three=2, Four=7 Generation=6254 1 gun alive
One=0, Two=1, Three=2, Four=8 Generation=1562 All guns dead
One=0, Two=1, Three=2, Four=9 Generation=1960 All guns dead
One=0, Two=1, Three=2, Four=10 Generation=1503 All guns dead
One=0, Two=1, Three=2, Four=11 Generation=2851 All guns dead
One=0, Two=1, Three=2, Four=12 Generation=2117 1 gun alive
One=0, Two=1, Three=3, Four=0 Generation=2134 All guns dead
One=0, Two=1, Three=3, Four=1 Generation=4147 1 gun alive
One=0, Two=1, Three=3, Four=2 Generation=3273 All guns dead
One=0, Two=1, Three=3, Four=3 Generation=3094 All guns dead
One=0, Two=1, Three=3, Four=4 Generation=5015 1 gun alive
One=0, Two=1, Three=3, Four=5 Generation=9186 All guns dead
One=0, Two=1, Three=3, Four=6 Generation=3901 All guns dead
One=0, Two=1, Three=3, Four=7 Generation=2554 All guns dead
One=0, Two=1, Three=3, Four=8 Generation=3782 All guns dead
One=0, Two=1, Three=3, Four=9 Generation=7540 All guns dead
One=0, Two=1, Three=3, Four=10 Generation=3005 1 gun alive
One=0, Two=1, Three=3, Four=11 Generation=2142 All guns dead
One=0, Two=1, Three=3, Four=12 Generation=259 4 guns alive
One=0, Two=1, Three=4, Four=0 Generation=2131 All guns dead
One=0, Two=1, Three=4, Four=1 Generation=2525 1 gun alive
One=0, Two=1, Three=4, Four=2 Generation=256 4 guns alive
One=0, Two=1, Three=4, Four=3 Generation=2416 1 gun alive
One=0, Two=1, Three=4, Four=4 Generation=2585 All guns dead
One=0, Two=1, Three=4, Four=5 Generation=4903 1 gun alive
One=0, Two=1, Three=4, Four=6 Generation=5762 1 gun alive
One=0, Two=1, Three=4, Four=7 Generation=5704 1 gun alive
One=0, Two=1, Three=4, Four=8 Generation=2472 1 gun alive
One=0, Two=1, Three=4, Four=9 Generation=3433 1 gun alive
One=0, Two=1, Three=4, Four=10 Generation=2434 1 gun alive
One=0, Two=1, Three=4, Four=11 Generation=3362 All guns dead
One=0, Two=1, Three=4, Four=12 Generation=1891 All guns dead
One=0, Two=1, Three=5, Four=0 Generation=2371 All guns dead
One=0, Two=1, Three=5, Four=1 Generation=3482 All guns dead
One=0, Two=1, Three=5, Four=2 Generation=256 4 guns alive
One=0, Two=1, Three=5, Four=3 Generation=328 4 guns alive
One=0, Two=1, Three=5, Four=4 Generation=3096 All guns dead
One=0, Two=1, Three=5, Four=5 Generation=1141 All guns dead
One=0, Two=1, Three=5, Four=6 Generation=6134 1 gun alive
One=0, Two=1, Three=5, Four=7 Generation=343 4 guns alive
One=0, Two=1, Three=5, Four=8 Generation=2941 All guns dead
One=0, Two=1, Three=5, Four=9 Generation=266 4 guns alive
One=0, Two=1, Three=5, Four=10 Generation=4274 1 gun alive
One=0, Two=1, Three=5, Four=11 Generation=257 4 guns alive
One=0, Two=1, Three=5, Four=12 Generation=258 4 guns alive
One=0, Two=1, Three=6, Four=0 Generation=3571 All guns dead
One=0, Two=1, Three=6, Four=1 Generation=1831 1 gun alive
One=0, Two=1, Three=6, Four=2 Generation=4897 All guns dead
One=0, Two=1, Three=6, Four=3 Generation=4261 All guns dead
One=0, Two=1, Three=6, Four=4 Generation=2197 All guns dead
One=0, Two=1, Three=6, Four=5 Generation=4178 1 gun alive
One=0, Two=1, Three=6, Four=6 Generation=4322 All guns dead
One=0, Two=1, Three=6, Four=7 Generation=292 4 guns alive
One=0, Two=1, Three=6, Four=8 Generation=3132 1 gun alive
One=0, Two=1, Three=6, Four=9 Generation=2140 All guns dead
One=0, Two=1, Three=6, Four=10 Generation=267 4 guns alive
One=0, Two=1, Three=6, Four=11 Generation=1452 All guns dead
One=0, Two=1, Three=6, Four=12 Generation=270 4 guns alive
One=0, Two=1, Three=7, Four=0 Generation=6784 1 gun alive
One=0, Two=1, Three=7, Four=1 Generation=299 4 guns alive
One=0, Two=1, Three=7, Four=2 Generation=3421 All guns dead
One=0, Two=1, Three=7, Four=3 Generation=4714 All guns dead
One=0, Two=1, Three=7, Four=4 Generation=3512 All guns dead
One=0, Two=1, Three=7, Four=5 Generation=4201 All guns dead
One=0, Two=1, Three=7, Four=6 Generation=2797 All guns dead
One=0, Two=1, Three=7, Four=7 Generation=3002 All guns dead
One=0, Two=1, Three=7, Four=8 Generation=6504 1 gun alive
One=0, Two=1, Three=7, Four=9 Generation=1682 All guns dead
One=0, Two=1, Three=7, Four=10 Generation=1802 All guns dead
One=0, Two=1, Three=7, Four=11 Generation=2648 All guns dead
One=0, Two=1, Three=7, Four=12 Generation=4922 All guns dead
One=0, Two=1, Three=8, Four=0 Generation=1561 All guns dead
One=0, Two=1, Three=8, Four=1 Generation=2942 All guns dead
One=0, Two=1, Three=8, Four=2 Generation=262 4 guns alive
One=0, Two=1, Three=8, Four=3 Generation=1539 All guns dead
One=0, Two=1, Three=8, Four=4 Generation=1471 All guns dead
One=0, Two=1, Three=8, Four=5 Generation=5262 1 gun alive
One=0, Two=1, Three=8, Four=6 Generation=3039 All guns dead
One=0, Two=1, Three=8, Four=7 Generation=7445 1 gun alive
One=0, Two=1, Three=8, Four=8 Generation=6181 1 gun alive
One=0, Two=1, Three=8, Four=9 Generation=2263 2 guns alive
One=0, Two=1, Three=8, Four=10 Generation=3631 All guns dead
One=0, Two=1, Three=8, Four=11 Generation=3612 1 gun alive
One=0, Two=1, Three=8, Four=12 Generation=3309 1 gun alive
One=0, Two=1, Three=9, Four=0 Generation=3250 All guns dead
One=0, Two=1, Three=9, Four=1 Generation=7831 All guns dead
One=0, Two=1, Three=9, Four=2 Generation=3421 All guns dead
One=0, Two=1, Three=9, Four=3 Generation=3440 1 gun alive
One=0, Two=1, Three=9, Four=4 Generation=2882 All guns dead
One=0, Two=1, Three=9, Four=5 Generation=2852 All guns dead
One=0, Two=1, Three=9, Four=6 Generation=4177 All guns dead
One=0, Two=1, Three=9, Four=7 Generation=260 4 guns alive
One=0, Two=1, Three=9, Four=8 Generation=3699 All guns dead
One=0, Two=1, Three=9, Four=9 Generation=4955 1 gun alive
One=0, Two=1, Three=9, Four=10 Generation=2203 2 guns alive
One=0, Two=1, Three=9, Four=11 Generation=6252 All guns dead
One=0, Two=1, Three=9, Four=12 Generation=3332 All guns dead
One=0, Two=1, Three=10, Four=0 Generation=2942 All guns dead
One=0, Two=1, Three=10, Four=1 Generation=2492 All guns dead
One=0, Two=1, Three=10, Four=2 Generation=1681 All guns dead
One=0, Two=1, Three=10, Four=3 Generation=2552 2 guns alive
One=0, Two=1, Three=10, Four=4 Generation=4415 All guns dead
One=0, Two=1, Three=10, Four=5 Generation=1001 All guns dead
One=0, Two=1, Three=10, Four=6 Generation=2977 All guns dead
One=0, Two=1, Three=10, Four=7 Generation=285 4 guns alive
One=0, Two=1, Three=10, Four=8 Generation=5101 All guns dead
One=0, Two=1, Three=10, Four=9 Generation=5671 All guns dead
One=0, Two=1, Three=10, Four=10 Generation=4051 All guns dead
One=0, Two=1, Three=10, Four=11 Generation=5551 All guns dead
One=0, Two=1, Three=10, Four=12 Generation=3722 All guns dead
One=0, Two=1, Three=11, Four=0 Generation=7445 1 gun alive
One=0, Two=1, Three=11, Four=1 Generation=3924 1 gun alive
One=0, Two=1, Three=11, Four=2 Generation=1681 All guns dead
One=0, Two=1, Three=11, Four=3 Generation=1784 2 guns alive
One=0, Two=1, Three=11, Four=4 Generation=264 4 guns alive
One=0, Two=1, Three=11, Four=5 Generation=4479 1 gun alive
One=0, Two=1, Three=11, Four=6 Generation=1752 All guns dead
One=0, Two=1, Three=11, Four=7 Generation=4262 All guns dead
One=0, Two=1, Three=11, Four=8 Generation=3881 1 gun alive
One=0, Two=1, Three=11, Four=9 Generation=264 4 guns alive
One=0, Two=1, Three=11, Four=10 Generation=263 4 guns alive
One=0, Two=1, Three=11, Four=11 Generation=3822 All guns dead
One=0, Two=1, Three=11, Four=12 Generation=2371 All guns dead
One=0, Two=1, Three=12, Four=0 Generation=3481 All guns dead
One=0, Two=1, Three=12, Four=1 Generation=4303 All guns dead
One=0, Two=1, Three=12, Four=2 Generation=7353 All guns dead
One=0, Two=1, Three=12, Four=3 Generation=3961 All guns dead
One=0, Two=1, Three=12, Four=4 Generation=264 4 guns alive
One=0, Two=1, Three=12, Four=5 Generation=9756 All guns dead
One=0, Two=1, Three=12, Four=6 Generation=5761 All guns dead
One=0, Two=1, Three=12, Four=7 Generation=2656 1 gun alive
One=0, Two=1, Three=12, Four=8 Generation=1363 All guns dead
One=0, Two=1, Three=12, Four=9 Generation=296 4 guns alive
One=0, Two=1, Three=12, Four=10 Generation=3311 All guns dead
One=0, Two=1, Three=12, Four=11 Generation=3462 All guns dead
One=0, Two=1, Three=12, Four=12 Generation=3590 2 guns alive
One=0, Two=2, Three=0, Four=0 Generation=1321 All guns dead
One=0, Two=2, Three=0, Four=1 Generation=5673 All guns dead
One=0, Two=2, Three=0, Four=2 Generation=2313 All guns dead
One=0, Two=2, Three=0, Four=3 Generation=3661 All guns dead
One=0, Two=2, Three=0, Four=4 Generation=261 4 guns alive
One=0, Two=2, Three=0, Four=5 Generation=5281 All guns dead
One=0, Two=2, Three=0, Four=6 Generation=3859 1 gun alive
One=0, Two=2, Three=0, Four=7 Generation=2493 All guns dead
One=0, Two=2, Three=0, Four=8 Generation=2643 All guns dead
One=0, Two=2, Three=0, Four=9 Generation=5863 2 guns alive
One=0, Two=2, Three=0, Four=10 Generation=262 4 guns alive
One=0, Two=2, Three=0, Four=11 Generation=4651 All guns dead
One=0, Two=2, Three=0, Four=12 Generation=4864 1 gun alive
One=0, Two=2, Three=1, Four=0 Generation=2191 All guns dead
One=0, Two=2, Three=1, Four=1 Generation=2424 2 guns alive
One=0, Two=2, Three=1, Four=2 Generation=1982 All guns dead
One=0, Two=2, Three=1, Four=3 Generation=3844 All guns dead
One=0, Two=2, Three=1, Four=4 Generation=1832 All guns dead
One=0, Two=2, Three=1, Four=5 Generation=288 4 guns alive
One=0, Two=2, Three=1, Four=6 Generation=4981 All guns dead
One=0, Two=2, Three=1, Four=7 Generation=3031 All guns dead
One=0, Two=2, Three=1, Four=8 Generation=2859 All guns dead
One=0, Two=2, Three=1, Four=9 Generation=3483 All guns dead
One=0, Two=2, Three=1, Four=10 Generation=1681 All guns dead
One=0, Two=2, Three=1, Four=11 Generation=3151 All guns dead
One=0, Two=2, Three=1, Four=12 Generation=3096 1 gun alive
One=0, Two=2, Three=2, Four=0 Generation=9871 All guns dead
One=0, Two=2, Three=2, Four=1 Generation=2043 All guns dead
One=0, Two=2, Three=2, Four=2 Generation=4533 All guns dead
One=0, Two=2, Three=2, Four=3 Generation=2689 2 guns alive
One=0, Two=2, Three=2, Four=4 Generation=3575 All guns dead
One=0, Two=2, Three=2, Four=5 Generation=1566 All guns dead
One=0, Two=2, Three=2, Four=6 Generation=5470 1 gun alive
One=0, Two=2, Three=2, Four=7 Generation=2373 All guns dead
One=0, Two=2, Three=2, Four=8 Generation=2208 2 guns alive
One=0, Two=2, Three=2, Four=9 Generation=2913 All guns dead
One=0, Two=2, Three=2, Four=10 Generation=349 4 guns alive
One=0, Two=2, Three=2, Four=11 Generation=3453 All guns dead
One=0, Two=2, Three=2, Four=12 Generation=1543 All guns dead
One=0, Two=2, Three=3, Four=0 Generation=265 4 guns alive
One=0, Two=2, Three=3, Four=1 Generation=3122 All guns dead
One=0, Two=2, Three=3, Four=2 Generation=4114 All guns dead
One=0, Two=2, Three=3, Four=3 Generation=1711 All guns dead
One=0, Two=2, Three=3, Four=4 Generation=4741 All guns dead
One=0, Two=2, Three=3, Four=5 Generation=3303 All guns dead
One=0, Two=2, Three=3, Four=6 Generation=265 4 guns alive
One=0, Two=2, Three=3, Four=7 Generation=2074 All guns dead
One=0, Two=2, Three=3, Four=8 Generation=3874 1 gun alive
One=0, Two=2, Three=3, Four=9 Generation=2737 1 gun alive
One=0, Two=2, Three=3, Four=10 Generation=1321 All guns dead
One=0, Two=2, Three=3, Four=11 Generation=3001 All guns dead
One=0, Two=2, Three=3, Four=12 Generation=4207 1 gun alive
One=0, Two=2, Three=4, Four=0 Generation=350 4 guns alive
One=0, Two=2, Three=4, Four=1 Generation=2913 All guns dead
One=0, Two=2, Three=4, Four=2 Generation=330 4 guns alive
One=0, Two=2, Three=4, Four=3 Generation=1981 All guns dead
One=0, Two=2, Three=4, Four=4 Generation=253 4 guns alive
One=0, Two=2, Three=4, Four=5 Generation=412 4 guns alive
One=0, Two=2, Three=4, Four=6 Generation=257 4 guns alive
One=0, Two=2, Three=4, Four=7 Generation=256 4 guns alive
One=0, Two=2, Three=4, Four=8 Generation=5193 All guns dead
One=0, Two=2, Three=4, Four=9 Generation=2830 All guns dead
One=0, Two=2, Three=4, Four=10 Generation=259 4 guns alive
One=0, Two=2, Three=4, Four=11 Generation=1471 All guns dead
One=0, Two=2, Three=4, Four=12 Generation=5431 All guns dead
One=0, Two=2, Three=5, Four=0 Generation=4055 1 gun alive
One=0, Two=2, Three=5, Four=1 Generation=6303 All guns dead
One=0, Two=2, Three=5, Four=2 Generation=3720 1 gun alive
One=0, Two=2, Three=5, Four=3 Generation=2223 All guns dead
One=0, Two=2, Three=5, Four=4 Generation=253 4 guns alive
One=0, Two=2, Three=5, Four=5 Generation=2671 All guns dead
One=0, Two=2, Three=5, Four=6 Generation=5106 All guns dead
One=0, Two=2, Three=5, Four=7 Generation=2436 All guns dead
One=0, Two=2, Three=5, Four=8 Generation=4773 All guns dead
One=0, Two=2, Three=5, Four=9 Generation=321 4 guns alive
One=0, Two=2, Three=5, Four=10 Generation=317 4 guns alive
One=0, Two=2, Three=5, Four=11 Generation=3583 1 gun alive
One=0, Two=2, Three=5, Four=12 Generation=6696 All guns dead
One=0, Two=2, Three=6, Four=0 Generation=6481 All guns dead
One=0, Two=2, Three=6, Four=1 Generation=4327 All guns dead
One=0, Two=2, Three=6, Four=2 Generation=286 4 guns alive
One=0, Two=2, Three=6, Four=3 Generation=1024 All guns dead
One=0, Two=2, Three=6, Four=4 Generation=2347 All guns dead
One=0, Two=2, Three=6, Four=5 Generation=1147 All guns dead
One=0, Two=2, Three=6, Four=6 Generation=284 4 guns alive
One=0, Two=2, Three=6, Four=7 Generation=263 4 guns alive
One=0, Two=2, Three=6, Four=8 Generation=4146 1 gun alive
One=0, Two=2, Three=6, Four=9 Generation=257 4 guns alive
One=0, Two=2, Three=6, Four=10 Generation=4051 All guns dead
One=0, Two=2, Three=6, Four=11 Generation=347 4 guns alive
One=0, Two=2, Three=6, Four=12 Generation=3003 All guns dead
One=0, Two=2, Three=7, Four=0 Generation=2918 All guns dead
One=0, Two=2, Three=7, Four=1 Generation=2131 All guns dead
One=0, Two=2, Three=7, Four=2 Generation=2380 2 guns alive
One=0, Two=2, Three=7, Four=3 Generation=2794 1 gun alive
One=0, Two=2, Three=7, Four=4 Generation=259 4 guns alive
